,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
        All industries,27366.0,27609.1,27804.9,28007.2,28263.4,28251.5,28237.7,28403.1,28579.0,28827.1,28904.9,29085.2,28925.0,28967.7,28495.2,27688.3,27008.9,26846.4,26969.4,27131.9,27395.5,27763.4,28068.8,28250.0,28330.1,28383.5,28494.3,28690.7,29091.3,29104.2,29212.6,29483.2,29533.8,29792.1,29919.2,30182.8,30256.7,30614.1,30889.4,31098.9,31196.8,31432.1,31597.5,31634.3,31775.4,31953.7,32145.7,32330.4,32509.2,32573.2,32694.8,33074.7,33270.8,33621.7,33819.6,33843.5,33986.1,34264.1,34458.7,34428.6,34051.3,31163.8,33198.9,33791.8,34510.7,34988.5,35315.8,35653.0,35862.8,36013.3
Private industries,24150.3,24396.2,24579.9,24776.7,24998.4,24990.1,24973.3,25119.6,25291.1,25521.3,25586.4,25748.4,25580.4,25611.7,25115.9,24284.6,23558.7,23354.1,23469.8,23619.9,23890.1,24252.3,24576.8,24776.0,24887.6,24953.2,25090.9,25294.7,25694.6,25714.5,25815.8,26109.5,26176.4,26439.7,26583.3,26870.8,26951.2,27301.2,27550.8,27761.6,27836.7,28051.2,28202.8,28214.2,28332.0,28502.0,28677.9,28862.6,29057.4,29111.4,29232.3,29599.1,29790.8,30118.9,30300.0,30306.9,30437.9,30663.7,30843.3,30792.6,30429.9,27567.6,29613.8,30211.6,30870.1,31341.3,31671.2,32006.8,32207.5,32350.4
"    Agriculture, forestry, fishing, and hunting",458.6,462.4,463.7,466.2,462.4,475.3,461.3,459.7,468.9,459.4,452.0,450.5,453.0,441.6,431.5,444.8,455.6,453.8,468.8,461.0,458.1,466.1,462.8,455.5,452.9,441.8,445.2,455.8,455.8,457.5,448.0,443.0,462.7,478.0,484.1,482.6,487.2,490.0,491.2,496.0,495.7,491.6,502.2,508.3,525.7,521.2,520.8,531.1,537.1,536.0,535.1,533.1,532.8,536.6,531.1,530.9,516.8,518.5,519.8,524.3,548.0,528.3,546.8,550.1,534.9,529.6,525.8,523.2,521.1,516.3
        Farms,400.1,403.0,404.6,406.9,400.5,415.5,405.0,404.4,417.8,409.8,403.3,400.7,402.0,391.3,384.5,396.7,407.3,407.2,420.9,417.5,410.6,418.0,416.5,407.0,407.0,392.1,393.2,403.7,406.6,410.1,402.2,397.7,416.5,431.8,435.5,432.8,433.7,438.2,439.0,443.4,446.2,443.3,450.1,456.5,472.1,475.0,478.1,479.6,485.3,483.5,482.6,479.7,479.8,484.0,482.3,484.4,471.3,475.1,476.6,479.0,501.5,485.6,500.4,500.3,484.8,480.1,474.6,472.6,468.4,464.1
"        Forestry, fishing, and related activities",56.7,57.5,57.3,57.6,59.4,58.1,55.1,54.2,51.2,49.7,48.8,49.8,50.9,50.2,47.0,48.1,48.4,47.0,48.3,44.6,47.8,48.5,46.9,48.7,46.2,49.4,51.8,51.9,49.0,47.4,45.9,45.3,46.1,46.2,48.7,49.9,53.4,51.7,52.1,52.6,49.9,48.8,52.2,51.9,53.6,47.8,45.3,51.8,52.3,53.0,52.9,53.5,53.2,53.1,50.0,48.3,47.2,45.7,45.6,47.2,48.7,45.5,48.6,51.3,51.3,50.6,51.9,51.4,53.2,52.7
    Mining,447.3,458.1,445.1,453.3,479.7,478.4,485.7,486.9,483.9,493.9,483.3,488.1,496.4,515.0,513.3,523.9,525.4,488.4,480.1,476.8,491.4,505.5,519.9,526.0,527.4,550.7,565.2,594.8,612.4,613.0,611.4,617.2,620.0,640.4,658.5,647.1,681.2,730.7,745.4,747.5,729.2,683.8,665.6,630.6,579.2,561.2,568.2,574.8,618.5,622.8,629.7,663.1,683.4,717.5,745.8,740.3,730.4,753.1,776.5,768.8,784.0,601.6,598.6,603.9,607.9,641.1,634.2,644.9,654.8,664.8
        Oil and gas extraction,248.3,249.8,235.7,239.3,246.3,240.0,246.7,247.6,247.5,252.5,244.1,249.2,255.4,266.3,261.2,269.6,286.7,283.9,287.3,286.4,290.4,290.8,300.9,306.4,307.9,323.0,329.6,347.0,354.8,353.6,364.2,378.0,382.3,397.9,411.4,407.5,426.4,455.1,462.6,460.2,449.8,440.9,441.5,433.9,427.6,425.4,423.5,424.3,447.4,444.4,457.9,484.9,498.8,524.6,552.6,552.1,546.4,560.4,582.1,598.8,619.8,506.1,501.2,497.0,484.7,520.9,512.3,523.0,525.4,538.6
"        Mining, except oil and gas",137.3,140.7,139.3,139.3,148.3,149.3,146.3,145.7,141.0,144.5,141.9,141.3,143.2,141.3,140.9,135.2,132.7,125.2,123.7,119.3,119.9,124.5,124.0,124.7,126.8,131.4,131.7,132.1,131.6,127.4,120.5,119.2,117.6,120.2,123.5,120.8,125.0,128.1,127.9,122.1,125.2,121.0,123.0,117.4,112.2,110.0,111.9,112.8,115.6,114.0,110.2,113.2,111.7,113.8,113.6,115.5,112.7,117.6,115.0,110.8,107.9,94.6,99.1,99.1,105.0,101.4,100.4,99.7,103.8,100.9
        Support activities for mining,67.9,74.6,79.1,83.1,96.5,102.3,104.2,104.8,105.1,107.0,108.5,108.5,109.0,116.6,121.7,123.4,106.3,80.2,69.3,70.3,80.6,90.7,95.2,94.9,92.9,96.1,104.0,115.8,126.1,132.0,126.8,119.8,119.4,121.3,122.6,118.1,129.6,146.8,153.2,160.7,148.6,122.4,105.7,89.9,64.7,56.0,59.7,62.8,78.2,84.8,84.9,90.2,98.2,105.8,109.1,103.2,102.0,105.7,111.7,98.8,99.2,51.2,47.6,54.1,59.3,64.0,64.4,65.0,69.3,69.2
    Utilities,444.1,447.6,459.8,445.8,426.5,440.3,441.4,424.8,448.1,454.9,452.3,466.7,488.0,510.4,490.3,475.7,453.5,427.5,417.6,446.4,472.2,480.5,493.5,488.2,470.3,467.0,466.4,457.2,447.1,466.2,468.5,464.1,466.2,477.4,469.0,479.1,481.6,482.4,482.1,498.4,503.0,497.3,484.7,472.6,472.9,491.8,505.9,489.4,471.0,491.8,477.5,486.0,499.5,516.7,503.3,500.7,503.7,503.9,500.3,494.7,484.2,483.9,489.3,492.1,500.3,505.3,495.6,491.9,504.8,513.5
    Construction,1558.7,1567.2,1566.5,1574.6,1586.2,1556.1,1515.4,1468.0,1455.9,1466.0,1452.4,1423.4,1380.9,1368.4,1336.2,1278.6,1210.9,1173.1,1164.1,1107.2,1056.6,1092.8,1074.5,1079.5,1025.2,1050.4,1049.8,1064.1,1076.0,1067.2,1068.4,1086.7,1084.6,1110.8,1148.5,1155.7,1159.2,1181.0,1185.2,1206.5,1226.8,1286.3,1301.2,1305.9,1336.1,1345.1,1359.2,1383.4,1378.6,1380.0,1368.3,1385.9,1384.2,1405.6,1396.8,1363.7,1373.6,1394.3,1416.0,1422.4,1450.8,1395.7,1408.5,1452.6,1475.1,1454.1,1430.5,1402.2,1379.5,1330.1
    Manufacturing,5951.4,5986.7,5976.5,6093.5,6113.6,6094.2,6087.8,6121.9,6183.5,6281.1,6324.8,6320.7,6205.8,6106.3,5849.3,5573.6,5247.0,5113.4,5209.6,5316.4,5387.7,5465.7,5580.0,5576.3,5636.7,5618.8,5669.2,5729.3,5755.5,5768.9,5755.8,5810.6,5874.9,5931.6,5934.5,6007.0,5950.1,5986.5,6017.3,5981.1,5983.6,6012.6,6053.0,6004.4,6015.9,6005.3,6005.7,6014.1,5980.6,5955.0,5958.6,6041.8,6066.7,6090.8,6137.3,6156.4,6149.9,6143.9,6112.3,5966.0,5883.5,5233.8,5739.9,5776.1,5824.3,5742.0,5726.1,5800.4,5807.0,5794.6
        Durable goods,2661.4,2679.4,2699.3,2806.6,2806.0,2792.8,2791.4,2823.0,2849.6,2903.6,2935.3,2947.7,2921.7,2844.9,2734.5,2528.7,2261.5,2174.3,2238.6,2334.4,2374.4,2426.3,2515.6,2528.3,2597.1,2577.7,2631.3,2680.1,2699.5,2717.8,2682.0,2704.5,2744.5,2781.7,2775.8,2826.5,2818.5,2855.9,2916.3,2881.9,2859.5,2879.4,2892.6,2851.2,2823.1,2801.2,2797.6,2816.1,2806.5,2811.3,2827.9,2878.4,2904.6,2906.7,2937.8,2966.5,2941.5,2944.5,2893.5,2814.7,2773.4,2350.4,2714.0,2764.3,2816.6,2787.9,2795.7,2845.2,2865.8,2907.1
            Wood products,111.9,109.8,112.7,122.0,123.5,114.1,111.9,112.0,106.5,107.6,108.0,106.0,99.3,96.1,91.4,82.1,71.3,71.7,72.8,72.0,74.5,74.8,72.5,75.0,73.4,73.8,76.0,78.1,80.0,80.0,81.1,82.1,86.7,84.2,83.4,83.2,80.6,86.8,87.3,87.1,88.9,89.8,93.0,92.7,94.8,93.0,92.9,95.4,97.8,96.3,95.7,99.6,100.3,98.5,99.9,96.8,93.3,92.4,94.8,98.2,98.2,94.6,102.1,105.0,100.4,94.2,95.0,95.6,90.1,90.2
            Nonmetallic mineral products,133.5,132.6,131.5,137.5,143.1,136.1,134.3,137.2,140.9,140.5,136.4,133.2,127.7,125.5,119.8,107.7,95.0,90.9,94.0,91.2,94.0,98.0,97.2,93.9,95.6,94.8,95.0,100.0,98.0,99.9,99.8,100.9,101.9,103.8,104.8,102.9,103.9,107.6,108.2,108.6,108.0,107.4,110.4,110.5,112.6,111.3,110.3,110.7,109.7,109.5,109.2,112.2,109.5,112.6,112.7,112.2,113.3,113.8,114.3,111.3,108.9,105.4,110.3,113.1,112.4,111.3,110.4,111.9,111.1,109.8
            Primary metals,274.3,262.2,264.3,275.4,273.0,265.3,261.1,261.9,269.0,264.4,269.6,292.8,300.8,286.1,278.4,240.7,198.9,185.0,209.6,223.6,240.3,248.8,259.2,257.9,261.7,266.5,268.3,284.1,273.5,270.3,266.5,266.6,273.3,275.1,282.3,283.8,275.7,278.7,281.1,278.5,268.1,261.8,259.9,259.5,256.2,248.0,244.1,247.1,245.3,242.2,245.5,252.7,257.7,258.7,255.0,253.4,249.2,249.4,246.7,238.9,243.0,198.7,214.3,232.9,226.4,214.7,211.0,206.9,208.9,215.0
            Fabricated metal products,347.8,354.0,349.6,365.9,379.1,374.8,368.6,374.3,383.1,391.1,390.9,394.2,397.1,392.9,373.7,347.8,308.8,285.8,291.7,297.3,301.1,309.5,312.6,318.4,326.5,325.1,332.4,341.4,345.6,343.5,342.5,342.5,350.5,349.4,346.2,348.7,350.9,353.3,360.0,358.9,355.6,348.9,346.1,337.5,339.3,337.8,337.3,337.1,331.1,331.5,335.5,343.1,348.0,352.0,352.0,351.0,353.3,351.5,351.1,344.8,343.6,301.3,315.2,323.6,330.0,320.8,316.6,319.0,318.4,312.7
            Machinery,352.4,351.2,357.3,366.1,367.4,374.0,375.4,381.3,372.4,396.8,395.9,391.1,396.8,383.2,378.0,365.5,312.3,294.7,286.8,304.4,313.8,332.3,338.9,350.6,360.1,366.1,386.5,396.7,404.0,410.4,403.1,401.5,403.5,389.3,379.2,391.2,394.0,394.6,407.3,387.7,368.3,366.8,364.5,349.4,342.4,333.4,329.9,335.7,335.7,339.7,343.8,352.4,355.7,365.7,366.8,365.7,365.0,367.6,358.4,343.6,331.1,297.3,314.1,327.1,337.0,347.2,354.1,356.6,359.4,352.9
            Computer and electronic products,288.1,289.9,298.3,310.5,319.8,325.5,331.7,337.7,349.7,360.9,370.5,384.0,387.4,383.3,373.3,356.1,317.2,317.3,329.5,336.8,335.8,341.0,353.5,352.5,352.5,356.4,356.3,356.3,355.1,359.8,350.4,351.7,352.1,355.8,356.0,364.5,358.1,362.2,362.4,351.6,357.3,369.8,365.7,362.9,364.0,369.0,375.2,376.0,374.5,372.6,380.7,389.0,390.2,397.5,399.7,410.5,405.8,411.1,403.0,394.0,410.5,395.9,395.3,414.1,424.5,431.8,433.9,434.0,441.9,445.6
"            Electrical equipment, appliances, and components",137.3,136.4,139.4,141.2,140.1,139.6,137.5,138.0,143.0,142.9,142.2,143.6,140.4,140.5,139.7,128.5,112.3,109.4,109.3,109.4,109.4,112.9,115.9,117.6,118.7,119.2,120.9,121.6,124.4,123.4,122.4,121.2,125.7,124.3,123.2,121.6,123.6,124.3,130.2,128.0,128.1,126.4,126.4,126.4,123.0,122.9,123.9,123.9,123.4,121.6,120.3,122.4,122.9,123.6,123.9,123.6,124.0,124.0,124.5,124.4,122.7,114.1,117.1,120.5,126.9,124.4,124.6,125.2,123.6,122.0
"            Motor vehicles, bodies and trailers, and parts",551.4,565.3,567.2,584.8,573.6,571.7,571.3,570.1,556.1,558.1,560.9,532.0,505.5,466.4,430.0,390.0,338.2,319.2,362.6,409.6,415.8,429.1,472.9,482.5,515.6,492.5,510.9,516.4,512.4,520.9,504.5,517.5,528.2,561.4,564.8,591.7,590.5,610.1,635.3,630.3,632.8,650.7,670.4,659.3,659.6,662.4,665.9,669.8,654.0,661.9,638.1,647.2,664.3,665.7,673.5,690.0,675.0,695.6,674.1,646.6,624.3,424.4,698.9,669.2,686.5,650.6,638.3,681.7,693.4,746.0
            Other transportation equipment,228.0,235.4,233.7,255.1,233.1,235.5,238.0,250.9,271.6,285.4,297.8,300.7,301.6,301.0,287.1,258.6,267.9,265.0,248.4,260.6,260.7,250.9,267.4,256.1,265.8,259.5,263.1,264.5,287.5,287.7,289.9,297.5,292.4,306.0,301.4,307.5,313.3,313.3,316.4,321.0,319.9,324.6,319.8,313.7,298.8,292.5,294.2,299.8,313.4,312.1,332.0,328.0,322.7,299.6,321.9,332.5,333.7,310.2,304.2,298.0,282.0,216.7,231.7,242.2,248.6,271.5,288.8,290.8,300.8,301.6
